Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Afghanistan,AFG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..
Afghanistan,AFG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,357.2611528
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,56.395
Albania,ALB,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,11.235
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,35.71428571
Albania,ALB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,93.22809566
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,74.84088433
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7756.961887
Algeria,DZA,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Algeria,DZA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Algeria,DZA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.108108108
Algeria,DZA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,106.1530228
Algeria,DZA,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,67.80729895
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4960.303343
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
American Samoa,ASM,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..
American Samoa,ASM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
American Samoa,ASM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,18017.45894
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Andorra,AND,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,46.42857143
Andorra,AND,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,98.01603699
Andorra,AND,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,35.31114327
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42414.04799
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,74.2
Angola,AGO,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,14.358
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,33.63636364
Angola,AGO,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Angola,AGO,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3682.113151
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Antigua and Barbuda,ATG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.11111111
Antigua and Barbuda,ATG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,107.7373613
Antigua and Barbuda,ATG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,20105.19891
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,52.079
Argentina,ARG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,7.66
Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,44.74708171
Argentina,ARG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,117.5660095
Argentina,ARG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,140.0678616
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13962.18941
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,54.866
Armenia,ARM,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,9.469
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,35.51401869
Armenia,ARM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,90.12154251
Armenia,ARM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,64.06355937
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,6571.974455
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..
Aruba,ABW,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..
Aruba,ABW,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,137.2876434
Aruba,ABW,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,30975.99891
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,62.538
