Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index,Economy,Economy Code,ISO Code,Region,Income Group,Report Year,I. Economy LF Index,1. Safety LF Topic Score,2. Mobility LF Topic Score,3. Work LF Topic Score,4. Pay LF Topic Score,5. Marriage LF Topic Score,6. Parenthood LF Topic Score,7. Childcare LF Topic Score,8. Entrepreneurship LF Topic Score,9. Assets LF Topic Score,10. Pension LF Topic Score,II. Economy SF Index,1. Safety SF Topic Score,2. Mobility SF Topic Score,3. Work SF Topic Score,4. Pay SF Topic Score,5. Marriage SF Topic Score,6. Parenthood SF Topic Score,7. Childcare SF Topic Score,8. Entrepreneurship SF Topic Score,9. Assets SF Topic Score,10. Pension SF Topic Score,III. Economy EP Index,1. Safety EP Topic Score,2. Mobility EP Topic Score,3. Work EP Topic Score,4. Pay EP Topic Score,5. Marriage EP Topic Score,6. Parenthood EP Topic Score,7. Childcare EP Topic Score,8. Entrepreneurship EP Topic Score,9. Assets EP Topic Score,10. Pension EP Topic Score
Finland,FIN,3.095,52834.2916752703,57.489,84.3,8.0,46.0,151.367446899414,123.14087677002,6.413,0.9919211174878462,0.7159506505134667,0.6751286581150625,0.8863465978948629,0.7510204081632653,0.8440562955516462,0.9929435483870968,0.98280877210184,0.8539358840006565,0.7595924768333544,0.9540329727946,0.7510204081632653,0.829645435447969,Finland,FIN,FIN,High income: OECD,High income,2026,87.5,12.5,100.0,100.0,100.0,100,87.5,100.0,75.0,100,100.0,71.05,68.75,100.0,91.75,62.5,62.5,75.0,87.5,25.0,37.5,100.0,81.2,7.81,100,93.75,75,100,78.13,100,66.67,100,90.63
Iceland,ISL,3.369,82138.7892973557,70.368,84.3,3.0,47.6190476190476,106.320831298828,104.202987670898,3.103,0.6912482359741414,0.6038170732859072,0.8400030724325984,0.8863465978948629,0.7774538386783282,0.927243025885901,0.997983870967742,0.9810177468379252,0.6475326546300243,0.8836230491592497,0.9551160719001768,0.7774538386783282,0.8159314035919447,Iceland,ISL,ISL,High income: OECD,High income,2026,86.05,31.25,100.0,70.75,100.0,100,100.0,91.75,75.0,100,91.75,67.7,52.0,75.0,100.0,100.0,50.0,75.0,75.0,25.0,37.5,87.5,77.17,16.44,100,62.42,84.38,100,93.75,75.06,68.75,100,70.92
Sweden,SWE,1.792,54950.2834725622,61.685,85.0,4.0,46.4183381088825,143.316436767578,104.125679016113,7.866,0.9381829979163578,0.6033593192053801,0.7288450213790101,0.9073379914235162,0.7578504181042041,0.8075395828097512,0.9969758064516128,0.9913259469882668,0.770771158560869,0.7681923020943806,0.9652132482877986,0.7578504181042041,0.8155067817618131,Sweden,SWE,SWE,High income: OECD,High income,2026,87.3,56.25,100.0,91.75,100.0,100,100.0,83.25,50.0,100,91.75,80.5,75.0,100.0,75.0,100.0,87.5,75.0,100.0,67.5,50.0,75.0,84.37,42.19,100,89,93.75,100,96.88,80.13,50,100,91.75
Norway,NOR,1.405,87497.2179649556,62.371,84.6,1.0,46.1538461538462,116.642189025879,114.607200622559,3.454,0.7601402565521712,0.6654217014681022,0.7376270578897508,0.8953429094071428,0.7535321821036115,0.918421713998492,1.0,0.9938556067588326,0.7127809790101367,0.8280243859441214,0.9630661720553252,0.7535321821036115,0.8143509297782987,Norway,NOR,NOR,High income: OECD,High income,2026,88.13,31.25,100.0,100.0,100.0,100,100.0,100.0,50.0,100,100.0,75.65,54.0,75.0,100.0,75.0,62.5,75.0,87.5,77.5,62.5,87.5,75.63,18.75,100,81.25,75,100,87.5,62.5,50,93.75,87.5
Australia,AUS,6.715,65058.3773146674,62.576,85.1,2.0,38.4105960264901,131.09733581543,125.171501159668,3.572,0.8566241006761088,0.7279742279895497,0.740251427400978,0.9103367619276094,0.6271117718610628,0.91545614475999,0.998991935483871,0.959146321534791,0.7922991643328292,0.827853786080484,0.9561583396487572,0.6271117718610628,0.8008557654807833,Australia,AUS,AUS,High income: OECD,High income,2026,91.88,68.75,100.0,100.0,100.0,100,100.0,100.0,75.0,100,75.0,78.68,91.75,100.0,100.0,75.0,87.5,25.0,100.0,57.5,62.5,87.5,82.22,55.5,100,68.75,87.5,100,93.75,81.25,68.75,100,66.67
Netherlands,NLD,1.858,63515.6030780019,63.079,83.4,4.0,40.0,140.839157104492,94.4388198852539,3.744,0.9216478863506028,0.5460022314773166,0.7466907340553549,0.8593576633580233,0.6530612244897959,0.9111334506157326,0.9969758064516128,0.9908945321436742,0.7338250589139597,0.8289120923355437,0.9490760006511036,0.6530612244897959,0.7912185940976006,Netherlands,NLD,NLD,High income: OECD,High income,2026,86.05,31.25,100.0,100.0,100.0,100,100.0,75.0,62.5,100,91.75,67.38,27.0,75.0,91.75,62.5,100.0,100.0,75.0,42.5,37.5,62.5,69.79,12.5,100,81.25,56.25,93.75,81.25,56.25,53.13,93.75,..
New Zealand,NZL,10.879,49075.9562832927,66.922,83.5,7.0,44.2622950819672,117.271408081055,95.5678100585938,3.974,0.764340108281335,0.5526871215476273,0.7958880610389942,0.8623564338621165,0.7226497156239543,0.9053531037949234,0.9939516129032258,0.93192796679413,0.6585136149144812,0.8506205824169588,0.929412004519824,0.7226497156239543,0.7902989793688047,New Zealand,NZL,NZL,High income: OECD,High income,2026,90.0,75.0,100.0,100.0,100.0,100,75.0,100.0,75.0,100,75.0,73.18,91.75,75.0,100.0,50.0,87.5,25.0,100.0,77.5,50.0,75.0,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,3.67,55291.4754541329,49.834,84.5,4.0,42.6666666666667,152.577819824219,95.5885467529297,5.057,1.0,0.5528099060725333,0.5771308600250915,0.8923441389030496,0.6965986394557828,0.8781352098517216,0.9969758064516128,0.9790502336830408,0.7764049530362667,0.7276330349384066,0.9561233930125678,0.6965986394557828,0.789190005110756,Belgium,BEL,BEL,High income: OECD,High income,2026,91.05,31.25,100.0,100.0,100.0,100,100.0,91.75,87.5,100,100.0,81.63,68.75,75.0,100.0,100.0,87.5,75.0,100.0,85.0,37.5,87.5,83.7,23.44,100,81.25,81.25,100,100,79.19,78.13,93.75,100
Denmark,DNK,1.14,68043.5466971243,59.812,83.7,4.0,43.5754189944134,126.258628845215,94.8593978881836,5.274,0.824327157872795,0.5484925257083625,0.7048672453081393,0.8683539748703032,0.7114354121536881,0.8726815782860016,0.9969758064516128,0.9955878027257574,0.6864098417905787,0.7887744117970704,0.953639194682558,0.7114354121536881,0.7850647151059738,Denmark,DNK,DNK,High income: OECD,High income,2026,88.35,50.0,100.0,75.0,100.0,100,100.0,91.75,75.0,100,91.75,64.33,62.5,75.0,58.25,50.0,87.5,25.0,100.0,60.0,50.0,75.0,88.61,..,100,75,96.88,100,96.88,77.19,66.67,100,84.83
United Arab Emirates,ARE,3.103,49850.6872175164,52.347,84.204,3.0,50.0,102.195120776205,70.1777672820254,4.34,0.6637103343007396,0.4023495465626006,0.6093017896919886,0.8834677782109333,0.8163265306122449,0.8961548127670269,0.997983870967742,0.9827564793934046,0.5330299404316701,0.7527283012295077,0.95473604285736,0.8163265306122449,0.7642052037826956,United Arab Emirates,ARE,ARE,Middle East & North Africa,High income,2026,53.58,43.75,37.5,62.5,100.0,25,54.5,41.75,62.5,25,83.25,36.83,41.5,50.0,16.75,37.5,100.0,0.0,25.0,35.0,12.5,50.0,..,..,..,..,..,..,..,..,..,..,..
