Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index
Finland,FIN,3.095,52834.2916752703,57.489,84.3,8.0,46.0,151.367446899414,123.14087677002,6.413,0.9919211174878462,0.7159506505134667,0.6751286581150625,0.8863465978948629,0.7510204081632653,0.8440562955516462,0.9929435483870968,0.98280877210184,0.8539358840006565,0.7595924768333544,0.9540329727945999,0.7510204081632653,0.829645435447969
Iceland,ISL,3.369,82138.7892973557,70.368,84.3,3.0,47.6190476190476,106.320831298828,104.202987670898,3.103,0.6912482359741414,0.6038170732859072,0.8400030724325984,0.8863465978948629,0.7774538386783282,0.927243025885901,0.9979838709677419,0.9810177468379253,0.6475326546300243,0.8836230491592497,0.9551160719001768,0.7774538386783282,0.8159314035919447
Sweden,SWE,1.792,54950.2834725622,61.685,85.0,4.0,46.4183381088825,143.316436767578,104.125679016113,7.866,0.9381829979163578,0.6033593192053801,0.7288450213790101,0.9073379914235162,0.7578504181042041,0.8075395828097512,0.9969758064516129,0.9913259469882668,0.770771158560869,0.7681923020943806,0.9652132482877986,0.7578504181042041,0.8155067817618131
Norway,NOR,1.405,87497.2179649556,62.371,84.6,1.0,46.1538461538462,116.642189025879,114.607200622559,3.454,0.7601402565521712,0.6654217014681022,0.7376270578897508,0.8953429094071428,0.7535321821036115,0.918421713998492,1.0,0.9938556067588326,0.7127809790101367,0.8280243859441214,0.9630661720553251,0.7535321821036115,0.8143509297782987
Australia,AUS,6.715,65058.3773146674,62.576,85.1,2.0,38.4105960264901,131.09733581543,125.171501159668,3.572,0.8566241006761088,0.7279742279895497,0.740251427400978,0.9103367619276094,0.6271117718610628,0.9154561447599899,0.998991935483871,0.959146321534791,0.7922991643328292,0.827853786080484,0.9561583396487571,0.6271117718610628,0.8008557654807833
Netherlands,NLD,1.858,63515.6030780019,63.079,83.4,4.0,40.0,140.839157104492,94.4388198852539,3.744,0.9216478863506028,0.5460022314773166,0.7466907340553549,0.8593576633580233,0.6530612244897959,0.9111334506157326,0.9969758064516129,0.9908945321436742,0.7338250589139597,0.8289120923355437,0.9490760006511035,0.6530612244897959,0.7912185940976006
New Zealand,NZL,10.879,49075.9562832927,66.922,83.5,7.0,44.2622950819672,117.271408081055,95.5678100585938,3.974,0.764340108281335,0.5526871215476273,0.7958880610389942,0.8623564338621165,0.7226497156239543,0.9053531037949234,0.9939516129032258,0.9319279667941301,0.6585136149144812,0.8506205824169588,0.9294120045198241,0.7226497156239543,0.7902989793688047
Belgium,BEL,3.67,55291.4754541329,49.834,84.5,4.0,42.6666666666667,152.577819824219,95.5885467529297,5.057,1.0,0.5528099060725333,0.5771308600250915,0.8923441389030496,0.6965986394557828,0.8781352098517216,0.9969758064516129,0.9790502336830408,0.7764049530362667,0.7276330349384066,0.9561233930125678,0.6965986394557828,0.789190005110756
Denmark,DNK,1.14,68043.5466971243,59.812,83.7,4.0,43.5754189944134,126.258628845215,94.8593978881836,5.274,0.824327157872795,0.5484925257083625,0.7048672453081393,0.8683539748703032,0.7114354121536881,0.8726815782860016,0.9969758064516129,0.9955878027257574,0.6864098417905787,0.7887744117970704,0.9536391946825579,0.7114354121536881,0.7850647151059738
United Arab Emirates,ARE,3.103,49850.6872175164,52.347,84.204,3.0,50.0,102.195120776205,70.1777672820254,4.34,0.6637103343007396,0.40234954656260064,0.6093017896919886,0.8834677782109333,0.8163265306122449,0.8961548127670269,0.9979838709677419,0.9827564793934046,0.5330299404316701,0.7527283012295077,0.9547360428573599,0.8163265306122449,0.7642052037826956
Andorra,AND,3.48,46812.4261013102,53.205,86.107,11.0,50.0,99.4687423706055,68.0038204393505,5.473,0.6455125620512816,0.38947733916420607,0.6202857362316613,0.9405343809038293,0.8163265306122449,0.8676803216888666,0.9899193548387096,0.9802921855083832,0.5174949506077439,0.7439830289602639,0.970248640416974,0.8163265306122449,0.7620132876493066
Argentina,ARG,26.414,14261.8465667948,52.958,79.875,33.0,43.1906614785992,107.980730920017,140.19173357234,6.793,0.7023275766853648,0.8169108767578823,0.617123691015695,0.7536510030887336,0.7051536567934564,0.8345061573259613,0.967741935483871,0.8303820636010066,0.7596192267216235,0.7258149241708282,0.8505916673912037,0.7051536567934564,0.7602948687692779
Spain,ESP,4.809,33493.2225409111,52.773,86.7,3.0,44.2857142857143,120.571983337402,106.624557495117,13.88,0.7863704752633504,0.6181554869007899,0.6147553575543436,0.9583170899931028,0.7230320699708457,0.6563960794169389,0.9979838709677419,0.9716050593195411,0.7022629810820702,0.6355757184856412,0.9759686734267953,0.7230320699708457,0.759209860741338
Austria,AUT,3.836,56579.504175468,55.812,84.2,6.0,40.9836065573771,99.5390701293945,103.992767333984,5.025,0.6459819791118879,0.6025723327416592,0.6536600353329748,0.8833478273907698,0.669120107059218,0.878939432018095,0.9949596774193549,0.9779651599830048,0.6242771559267736,0.7662997336755348,0.9520908882643765,0.669120107059218,0.7529469712314757
Slovenia,SVN,3.496,32660.4753581346,52.986,84.9,3.0,37.7777777777778,108.57103729248,97.7710037231445,3.714,0.7062676977270451,0.5657325029857634,0.617482141485521,0.9043392209194231,0.6167800453514742,0.9118874088967077,0.9979838709677419,0.9801876000915123,0.6360001003564042,0.7646847751911143,0.9608368973262258,0.6167800453514742,0.7445754545563046
Switzerland,CHE,1.483,100623.549627296,62.375,86.0,5.0,38.5,101.31884765625,78.7506637573242,4.283,0.6578614695090759,0.45311072400667807,0.737678265099726,0.9373256964644495,0.6285714285714286,0.8975873335008796,0.9959677419354839,0.9933457528515868,0.555486096757877,0.8176327993003027,0.9755463970838401,0.6285714285714286,0.744309180428362
United Kingdom,GBR,8.359,49944.4702124201,57.38,83.208,8.0,34.6153846153846,113.658416748047,93.4978408813477,3.683,0.7402244560731495,0.5404305787312395,0.6737332616432393,0.8536000239901639,0.5651491365777077,0.912666499120382,0.9929435483870968,0.9484001699513024,0.6403275174021945,0.7931998803818107,0.931647914109521,0.5651491365777077,0.7325811121178084
Cuba,CUB,48.674,9605.27914559614,41.159,80.52,35.0,55.7446808510638,96.3481332918381,65.2492928138711,1.861,0.6246834162590589,0.37316744133977214,0.46607522339145346,0.7729930728401353,0.910117238384715,0.9584568987182709,0.9657258064516129,0.6848776023793182,0.4989254287994155,0.7122660610548621,0.8078654938903554,0.910117238384715,0.732293555532337
Portugal,PRT,6.985,27634.6183139773,54.719,85.3,15.0,36.0869565217391,121.013473510742,85.4132080078125,6.862,0.7893172920398897,0.49256047029750405,0.6396676652072611,0.9163343029357961,0.5891748003549241,0.8327720532797185,0.9858870967741935,0.957381442625094,0.6409388811686969,0.7362198592434899,0.9532009474450277,0.5891748003549241,0.7298836220530346
"Macao SAR, China",MAC,0.465,67216.3631112124,62.631,86.1,44.0,25.04489795918365,91.7987421383648,134.410891089109,1.935,0.5943175712558223,0.7826817953834542,0.7409555265381365,0.9403244669685427,0.40889629321116167,0.9565971349585323,0.9566532258064516,1.0,0.6884996833196382,0.8487763307483344,0.9656592309249982,0.40889629321116167,0.727957884551033
Moldova,MDA,23.04,6799.58594644576,70.064,75.535,19.0,38.6138613861386,96.9969097488181,81.7232329363875,1.234,0.6290138078806636,0.4707116727639612,0.8361113244744859,0.6235043632110833,0.6304303899777731,0.974214626790651,0.9818548387096774,0.8524365133836651,0.5498627403223124,0.9051629756325684,0.8192652384348085,0.6304303899777731,0.7261803360918656
Singapore,SGP,2.16,85412.230345235,63.299,85.3,6.0,29.126213592233,102.676070813741,102.127991350812,3.703,0.666920534039878,0.5915307641366973,0.749507130603989,0.9163343029357961,0.47553001783237553,0.9121638602663986,0.9949596774193549,0.9889204824002353,0.6292256490882877,0.8308354954351937,0.9667381542517953,0.47553001783237553,0.7255823291519131
Belarus,BLR,8.595,7896.75388295584,57.417,79.065,1.0,40.0,97.184372562362,78.4458374741992,2.773,0.6302650669058628,0.4513058099858555,0.6742069283355095,0.7293609620055775,0.6530612244897959,0.9355365669766273,1.0,0.9468575350524561,0.5407854384458591,0.8048717476560685,0.892072832352678,0.6530612244897959,0.7226978107361004
Costa Rica,CRI,26.251,16942.0268119375,44.088,83.42,24.0,47.3684210526316,130.602096557617,60.4732704162598,10.21,0.8533185246034103,0.3448880236306501,0.5035717028957677,0.8599574174588418,0.7733619763694954,0.7486303091228952,0.9768145161290323,0.8314475275353792,0.5991032741170301,0.6261010060093315,0.8894064870410844,0.7733619763694954,0.7219931858842353
