Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment
Afghanistan,AFG,64.068,413.757894705303,5.145,67.536,521.0,27.0161290322581,45.1596908569336,5.93654012680054,26.597
Albania,ALB,12.789,9730.86921906893,57.963,81.446,7.0,35.7142857142857,92.6682931237011,77.0315270509882,10.957
Algeria,DZA,8.698,5370.477235078,14.338,77.696,62.0,7.86240786240786,103.220718383789,67.2588432657415,21.064
American Samoa,ASM,34.181,18017.4589383973,,75.838,,,,,
Andorra,AND,3.48,46812.4261013102,,86.107,11.0,50.0,99.4687423706055,68.0038204393505,
Angola,AGO,140.84,2916.13663284275,72.318,67.144,183.0,33.6363636363636,48.1175394651696,9.93361649716081,14.335
Antigua and Barbuda,ATG,32.932,21494.5474000727,,80.294,35.0,5.55555555555556,109.004008633981,,
Argentina,ARG,26.414,14261.8465667948,52.958,79.875,33.0,43.1906614785992,107.980730920017,140.19173357234,6.793
Armenia,ARM,13.445,8159.08720967996,51.517,81.0,19.0,35.5140186915888,88.2232017685754,63.8260087137715,13.155
Aruba,ABW,18.788,35718.7531191634,,78.779,,,140.441833496094,,
Australia,AUS,6.715,65058.3773146674,62.576,85.1,2.0,38.4105960264901,131.09733581543,125.171501159668,3.572
Austria,AUT,3.836,56579.504175468,55.812,84.2,6.0,40.9836065573771,99.5390701293945,103.992767333984,5.025
Azerbaijan,AZE,34.767,7133.02838048328,61.748,77.134,18.0,18.6440677966102,90.9502304680864,46.1470602336471,6.5
"Bahamas, The",BHS,24.564,38231.774484278,71.014,78.187,76.0,17.9487179487179,95.1823072325164,,8.225
Bahrain,BHR,7.535,29290.1284215098,42.382,81.987,17.0,20.0,101.916572717024,84.3254442585066,3.591
Bangladesh,BGD,73.179,2551.01773827307,41.874,76.373,115.0,20.8571428571429,71.5461976300242,20.8052172080444,3.238
Barbados,BRB,45.332,25583.878782727,61.146,78.615,35.0,26.6666666666667,104.055282592773,73.9003917179631,6.896
Belarus,BLR,8.595,7896.75388295584,57.417,79.065,1.0,40.0,97.184372562362,78.4458374741992,2.773
Belgium,BEL,3.67,55291.4754541329,49.834,84.5,4.0,42.6666666666667,152.577819824219,95.5885467529297,5.057
Belize,BLZ,55.232,7424.75821321022,44.076,76.495,67.0,15.625,84.5732792044884,29.0806945863126,12.86
Benin,BEN,77.844,1394.17784721831,74.802,62.208,518.0,26.605504587156,40.2818489074707,7.59056997299194,1.448
